counter,shot_type,made,attempts,percentage
400,de souza driving layup,1,1,1.0
500,hook,725,1600,0.453125
500,jump bank,621,893,0.6954087346024636
500,jump,15583,44499,0.35018764466617225
500,turnaround jump,846,1554,0.5444015444015444
500,running dunk,46,48,0.9583333333333334
500,driving layup,3507,4622,0.7587624405019472
500,running jump,1042,1798,0.5795328142380423
500,follow up dunk,213,226,0.9424778761061947
500,dunk,1306,1511,0.8643282594308405
500,fade away,585,954,0.6132075471698113
500,reverse layup,823,1189,0.6921783010933558
500,layup,6474,13415,0.4825941110696981
500,driving dunk,365,386,0.9455958549222798
500,tip,733,1462,0.5013679890560876
500,driving finger roll,270,344,0.7848837209302325
500,slam dunk,866,885,0.9785310734463277
500,turnaround hook,90,176,0.5113636363636364
500,alley oop layup,153,208,0.7355769230769231
500,running hook,136,231,0.5887445887445888
500,alley oop dunk,283,309,0.9158576051779935
500,running layup,207,331,0.6253776435045317
500,jump hook,362,586,0.6177474402730375
500,tip-in,8,54,0.14814814814814814
500,turnaround finger roll,15,16,0.9375
500,hook bank,29,33,0.8787878787878788
500,reverse dunk,72,76,0.9473684210526315
500,3pt,496,1444,0.34349030470914127
500,fade away jumper,52,85,0.611764705882353
500,driving hook,42,77,0.5454545454545454
500,finger roll,119,167,0.7125748502994012
500,running finger roll,31,40,0.775
500,running finger,3,4,0.75
500,alley oop layup shot,9,13,0.6923076923076923
500,running tip-in,3,3,1.0
500,de souza jump,1,1,1.0
500,de souza driving layup,1,1,1.0
500,running tip,1,1,1.0
600,hook,883,1918,0.46037539103232533
600,jump bank,744,1068,0.6966292134831461
600,jump,18285,53099,0.34435676754741146
600,turnaround jump,1003,1835,0.5465940054495912
600,running dunk,65,69,0.9420289855072463
600,driving layup,4175,5487,0.7608893748860944
600,running jump,1259,2170,0.580184331797235
600,follow up dunk,247,267,0.9250936329588015
600,dunk,1551,1796,0.8635857461024499
600,fade away,717,1148,0.6245644599303136
600,reverse layup,999,1434,0.696652719665272
600,layup,7682,16042,0.47886797157461664
600,driving dunk,451,479,0.941544885177453
