games,shot_type,distance,location,angle,assisted,all_shots,type_and_distance
100,0.21335911652339848,0.23139902653185157,0.21111175152196968,0.23244904991653786,0.5419515226848974,0.24824420550063428,0.2070742605904944
200,0.2243370865174136,0.23859437186607024,0.22750310998943607,0.23869123416532775,0.5401869158878505,0.2484258265668814,0.2199798288543408
300,0.2185803261960507,0.23229333299763963,0.2213338516079632,0.2319612723126722,0.5397902529302899,0.24843923710493634,0.2150109546374331
400,0.2192080508070895,0.23823429267988303,0.22923855127687237,0.23706265298789939,0.5424795468848332,0.2481985467783116,0.21412898074025535
500,0.22935360913959726,0.24003570965084914,0.2362943305982378,0.24258191689446773,0.557630392788152,0.24685894261183716,0.22619970519446558
600,0.21314669091436292,0.24073204533086945,0.23625239034054493,0.24199600098098406,0.5462445685909373,0.24786818115691203,0.20890554527436486
700,0.21902883935742204,0.2372557662058509,0.23432532631592673,0.2384713765878333,0.5276381909547738,0.2494891827082249,0.212077298436788
800,0.22603102823416457,0.2372059129358137,0.23359906934533747,0.23865732369537046,0.5350032113037894,0.24884407501670122,0.22047869043071536
900,0.22897485237440043,0.24089547411082438,0.23967731726085117,0.24497021682902284,0.5154574132492113,0.25051176979554335,0.2254626045138341
1000,0.22166980352283983,0.23780153520047742,0.2350398346511912,0.2394688639175292,0.5414603960396039,0.24828255897829887,0.21824721075630157
1100,0.23089836039061662,0.24005697600111067,0.23833569264581106,0.2438254939312836,0.5217391304347826,0.24994247155218227,0.22642590877912888
1200,0.2231701165388019,0.23682903016791362,0.2345801105711121,0.23715515055944064,0.5589330024813896,0.24681068738449544,0.2157105538025894
1300,0.21864659219450217,0.2396454101316427,0.2377022403651611,0.24050313852056993,0.5629348513598988,0.24644702845054942,0.21553677347303674
1400,0.21707811314603515,0.2401940995937608,0.23718861897913374,0.2437266521391821,0.5388923459863099,0.24850430270854806,0.2130354801054103
1500,0.21161041269903727,0.2334686317105208,0.23133051996371082,0.2337397137031424,0.5543945912722803,0.24716975297912197,0.20686276443244261
1600,0.2234147363969233,0.2348744559620809,0.23406503330438114,0.23830663890865675,0.5469135802469136,0.24781003282559408,0.21957447773854852
